epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2537,1.35678,2.49573,1.35852,0.00678,1,0.55278,0.34272,1.12906,3.02208,0.93464,0.000547614,0.000547614,0.000547614
2,88.0976,1.1367,1.42534,1.19612,0.66772,1,0.995,0.597,1.39211,1.84566,0.94251,0.00106687,0.00106687,0.00106687
3,121.968,1.10689,1.21381,1.20279,0.88572,1,0.995,0.55222,1.6451,0.88533,1.03103,0.00154946,0.00154946,0.00154946
4,164.735,1.08537,1.04004,1.17548,0.8663,1,0.995,0.597,1.50573,3.59436,1.02156,0.00150197,0.00150197,0.00150197
5,200.712,1.03385,0.89528,1.14792,0.91061,1,0.995,0.6965,1.37736,1.13775,0.95337,0.00144696,0.00144696,0.00144696
6,238.059,1.05056,0.86062,1.14987,0.95272,1,0.995,0.796,1.36922,0.73816,0.99162,0.00139195,0.00139195,0.00139195
7,276.693,0.97248,0.77597,1.11884,0.96522,1,0.995,0.62187,1.60258,0.7824,1.02557,0.00133693,0.00133693,0.00133693
8,315.727,0.98899,0.75785,1.12321,0.93368,1,0.995,0.64675,1.31861,0.62988,0.96306,0.00128192,0.00128192,0.00128192
9,357.714,0.94257,0.68903,1.09229,0.92738,1,0.995,0.74625,1.05102,0.53252,0.91691,0.00122691,0.00122691,0.00122691
10,393.604,0.95247,0.67829,1.1007,0.96411,1,0.995,0.67162,1.3518,0.61185,0.97408,0.0011719,0.0011719,0.0011719
11,435.468,0.89821,0.6604,1.08326,0.9336,1,0.995,0.6965,1.2096,0.50858,0.95438,0.00111689,0.00111689,0.00111689
12,484.06,0.92194,0.638,1.07586,0.9638,1,0.995,0.597,1.51229,0.60756,1.01214,0.00106188,0.00106188,0.00106188
13,531.616,0.88299,0.61185,1.07019,0.94806,1,0.995,0.6965,1.38366,0.63477,0.98701,0.00100687,0.00100687,0.00100687
14,577.992,0.88981,0.6117,1.07424,0.95933,1,0.995,0.64675,1.39685,0.50079,0.97318,0.000951857,0.000951857,0.000951857
15,624.493,0.86047,0.57769,1.06839,0.952,1,0.995,0.69961,1.29032,0.60944,0.97491,0.000896846,0.000896846,0.000896846
16,670.702,0.86335,0.57423,1.06399,0.94729,1,0.995,0.64986,1.45223,0.70003,0.97462,0.000841835,0.000841835,0.000841835
17,717.149,0.84661,0.54774,1.04463,0.95578,1,0.995,0.74625,1.17112,0.53979,0.92528,0.000786824,0.000786824,0.000786824
18,763.401,0.82431,0.52944,1.04127,0.95768,1,0.995,0.74625,1.22964,0.49848,0.92499,0.000731813,0.000731813,0.000731813
19,809.861,0.84513,0.55697,1.05,0.95373,1,0.995,0.74625,1.23449,0.57316,0.93357,0.000676802,0.000676802,0.000676802
20,856.51,0.82049,0.53442,1.03704,0.95183,1,0.995,0.6965,1.38811,0.49914,0.96382,0.000621791,0.000621791,0.000621791
21,904.412,0.76927,0.45533,0.98308,0.95594,1,0.995,0.6965,1.36909,0.54319,0.96243,0.00056678,0.00056678,0.00056678
22,950.21,0.75609,0.43916,0.98472,0.94161,1,0.995,0.64675,1.46419,0.54411,0.98707,0.000511769,0.000511769,0.000511769
23,996.099,0.76058,0.43468,0.98168,0.95172,1,0.995,0.796,0.95328,0.52466,0.89752,0.000456758,0.000456758,0.000456758
24,1033.78,0.73049,0.4191,0.96911,0.95793,1,0.995,0.64675,1.2156,0.58403,0.9172,0.000401747,0.000401747,0.000401747
25,1066.56,0.72628,0.40261,0.96026,0.96104,1,0.995,0.6965,1.07431,0.5012,0.91194,0.000346736,0.000346736,0.000346736
26,1099.58,0.7193,0.39954,0.96649,0.93389,1,0.995,0.796,1.07407,0.52546,0.91647,0.000291725,0.000291725,0.000291725
27,1132.19,0.69842,0.3853,0.94974,0.95744,1,0.995,0.61358,1.36661,0.58099,0.95827,0.000236714,0.000236714,0.000236714
28,1164.92,0.69024,0.37917,0.9471,0.9548,1,0.995,0.796,1.14571,0.46103,0.92925,0.000181703,0.000181703,0.000181703
29,1197.8,0.6859,0.37549,0.94357,0.96435,1,0.995,0.74625,1.19039,0.49686,0.93125,0.000126692,0.000126692,0.000126692
30,1230.95,0.66323,0.35756,0.93359,0.96334,1,0.995,0.74625,1.23555,0.55216,0.92647,7.1681e-05,7.1681e-05,7.1681e-05
