epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9352,1.61849,4.00981,1.62333,0.01034,0.14286,0.12213,0.10811,1.69719,4.34187,1.54077,7.497e-05,7.497e-05,7.497e-05
2,67.8931,1.45371,3.32315,1.39894,0.01536,0.14286,0.1233,0.11242,1.4687,3.96151,1.328,0.000155136,0.000155136,0.000155136
3,99.7733,1.17363,2.5251,1.2493,0.0214,0.14286,0.13076,0.12362,1.26229,3.87622,1.18968,0.000232004,0.000232004,0.000232004
4,131.06,1.20397,2.10609,1.25386,0.02139,0.17003,0.1298,0.12124,1.29292,3.74439,1.22546,0.000305573,0.000305573,0.000305573
5,162.759,1.13115,1.73862,1.24055,0.98968,0.13343,0.27609,0.18586,1.19879,2.35588,1.16955,0.000375843,0.000375843,0.000375843
6,194.041,1.13645,1.58569,1.18722,0.98435,0.22826,0.36812,0.20817,1.31482,2.34313,1.21449,0.000442814,0.000442814,0.000442814
7,225.56,1.11047,1.52639,1.12391,0.98178,0.20395,0.33657,0.20848,1.33569,2.4419,1.18031,0.000506487,0.000506487,0.000506487
8,257.054,1.13123,1.4204,1.11413,0.96032,0.16039,0.37918,0.21656,1.21244,2.16539,1.12231,0.000566861,0.000566861,0.000566861
9,288.602,1.07993,1.33171,1.07541,0.84583,0.19066,0.39511,0.22279,1.21308,2.04976,1.12184,0.000623937,0.000623937,0.000623937
10,320.74,1.09213,1.29281,1.09479,0.76769,0.35111,0.44935,0.25139,1.26743,1.82609,1.1559,0.000677714,0.000677714,0.000677714
11,352.417,1.12583,1.26838,1.11219,0.69794,0.42088,0.45404,0.24805,1.31573,1.80677,1.17166,0.000668066,0.000668066,0.000668066
12,384.251,1.09151,1.25848,1.10999,0.69493,0.46916,0.48641,0.27873,1.18741,1.61809,1.12046,0.000651573,0.000651573,0.000651573
13,416.259,1.08116,1.25883,1.12137,0.83566,0.41071,0.5038,0.30551,1.19946,1.52779,1.10353,0.000635079,0.000635079,0.000635079
14,452.152,1.0657,1.19486,1.08779,0.62868,0.60551,0.55839,0.31213,1.27793,1.5809,1.12323,0.000618586,0.000618586,0.000618586
15,483.697,1.08793,1.22412,1.10611,0.62488,0.6821,0.54786,0.31633,1.23948,1.5286,1.11522,0.000602092,0.000602092,0.000602092
16,515.898,1.07832,1.16585,1.08946,0.64919,0.61909,0.59014,0.33014,1.2622,1.44061,1.12268,0.000585599,0.000585599,0.000585599
17,547.607,1.04108,1.15936,1.0876,0.58795,0.65685,0.57688,0.3197,1.27154,1.41169,1.11451,0.000569106,0.000569106,0.000569106
18,581.715,1.07703,1.13993,1.07632,0.66824,0.70632,0.62579,0.33571,1.26112,1.58711,1.10588,0.000552612,0.000552612,0.000552612
19,622.507,1.04944,1.11658,1.06928,0.61598,0.71328,0.63858,0.32408,1.24396,1.54176,1.10142,0.000536119,0.000536119,0.000536119
20,655.144,1.04652,1.12778,1.06929,0.63642,0.71288,0.64786,0.32496,1.17791,1.39872,1.09526,0.000519625,0.000519625,0.000519625
21,687.63,1.00785,1.08699,1.06828,0.67299,0.68854,0.66976,0.36146,1.1325,1.34764,1.08139,0.000503132,0.000503132,0.000503132
22,720.602,0.9758,1.06444,1.04711,0.69753,0.62936,0.67943,0.37646,1.13306,1.40333,1.05816,0.000486639,0.000486639,0.000486639
23,753.13,0.98055,1.05075,1.04227,0.65471,0.64881,0.66746,0.37198,1.131,1.40408,1.06021,0.000470145,0.000470145,0.000470145
24,786.657,0.98659,1.00534,1.03739,0.63025,0.64063,0.63052,0.35549,1.1408,1.35228,1.06398,0.000453652,0.000453652,0.000453652
25,820.328,0.94883,0.99543,1.03827,0.65427,0.68553,0.67555,0.36329,1.12672,1.29596,1.06229,0.000437158,0.000437158,0.000437158
26,853.309,0.99604,1.02185,1.06044,0.66774,0.71815,0.70281,0.3758,1.09423,1.20886,1.0554,0.000420665,0.000420665,0.000420665
27,887.536,0.9734,0.99193,1.04221,0.68967,0.718,0.69347,0.36886,1.10297,1.22355,1.06337,0.000404172,0.000404172,0.000404172
28,921.115,0.98803,1.02051,1.05087,0.67354,0.70015,0.70083,0.36862,1.12284,1.27451,1.06725,0.000387678,0.000387678,0.000387678
29,954.38,1.00582,0.98447,1.04261,0.51944,0.67933,0.71575,0.38708,1.12474,1.28198,1.06907,0.000371185,0.000371185,0.000371185
30,987.399,1.06013,1.03402,1.07336,0.63306,0.82473,0.7537,0.39173,1.1073,1.1716,1.05833,0.000354691,0.000354691,0.000354691
31,1020.44,0.94972,0.92745,1.02342,0.5892,0.78758,0.73102,0.39957,1.13497,1.15591,1.06228,0.000338198,0.000338198,0.000338198
32,1052.59,0.95032,0.91372,1.0282,0.5637,0.76711,0.74191,0.39879,1.15488,1.14353,1.06809,0.000321705,0.000321705,0.000321705
33,1084.38,0.96701,0.88907,1.03227,0.5499,0.76711,0.74099,0.40293,1.15413,1.13732,1.06583,0.000305211,0.000305211,0.000305211
34,1116.53,0.95389,0.8879,1.03102,0.56295,0.71792,0.81033,0.40853,1.15584,1.1422,1.06124,0.000288718,0.000288718,0.000288718
